"Qty";"Value";"Device";"Package";"Parts";"Description";"MOUSER";"POPULARITY";"SPICEPREFIX";
"1";".1u";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"710-885012206071";"73";"C";
"1";".1u";"C-EUC0603";"C0603";"C2";"CAPACITOR, European symbol";"";"73";"C";
"1";"100";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"710-885012109014";"70";"R";
"1";"100";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"70";"R";
"1";"100k";"R-EU_R0603";"R0603";"R18";"RESISTOR, European symbol";"667-ERJ-3RBD104V";"70";"R";
"1";"100k";"R-EU_R0603";"R0603";"R20";"RESISTOR, European symbol";"";"70";"R";
"1";"100p";"C-EUC0603";"C0603";"C5";"CAPACITOR, European symbol";"710-885012206077";"73";"C";
"1";"100p";"C-EUC0603";"C0603";"C6";"CAPACITOR, European symbol";"";"73";"C";
"6";"20k";"POT_US_2X";"TT_2TAP_VERTICAL";"ATT_0, ATT_1, ATT_2, ATT_3, ATT_4, ATT_5";"";"";"";"";
"1";"22k";"R-EU_R0603";"R0603";"R14";"RESISTOR, European symbol";"667-ERJ-3RBD2202V";"70";"R";
"15";"22k";"R-EU_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R15, R16";"RESISTOR, European symbol";"";"70";"R";
"1";"22u";"C-EUC1210";"C1210";"C3";"CAPACITOR, European symbol";"710-885012109014";"0";"C";
"1";"22u";"C-EUC1210";"C1210";"C4";"CAPACITOR, European symbol";"";"0";"C";
"2";"CGRM4002-G";"CGRM4002-G";"SOD-123_MINI-SMA";"D2, D3";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"0";"";
"1";"M05X2SMD";"M05X2SMD";"2X5-SMD";"JP1";"Header 5x2";"";"";"";
"15";"PJ301_THONKICONN6";"PJ301_THONKICONN6";"WQP_PJ_301M6";"IN1L0, IN1L1, IN1L2, IN1L3, IN1L4, IN1L5, IN1R0, IN1R1, IN1R2, IN1R3, IN1R4, IN1R5, SEND_L, SEND_LR, SEND_R";"";"";"";"";
"1";"TL074D";"TL074D";"SO14";"OPAMP_IS";"OP AMP";"595-TL074IDR";"0";"J";
